E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_226.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_226.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_226.jpg, 0, 0, 0, 7.835055E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_327.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_327.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_327.jpg, 0, 0, 0, 7.794057E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_430.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_430.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_430.jpg, 0, 0, 0, 7.806085E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_534.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_534.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_534.jpg, 0, 0, 0, 8.013591E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_635.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_635.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_635.jpg, 0, 0, 0, 7.964129E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_737.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_737.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_737.jpg, 0, 0, 0, 8.018355E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_839.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_839.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_839.jpg, 0, 0, 0, 7.772365E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_41_940.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_41_940.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_41_940.jpg, 0, 0, 0, 7.812929E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_042.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_042.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_042.jpg, 0, 0, 0, 7.802463E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_144.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_144.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_144.jpg, 0, 0, 0, 7.987103E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_246.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_246.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_246.jpg, 0, 0, 0, 7.845752E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_349.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_349.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_349.jpg, 0, 0, 0, 7.82405E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_450.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_450.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_450.jpg, 0, 0, 0, 7.928644E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_552.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_552.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_552.jpg, 0, 0, 0, 8.025763E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_653.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_653.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_653.jpg, 0, 0, 0, 7.87141E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_756.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_756.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_756.jpg, 0, 0, 0, 7.798152E-05
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_859.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_859.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_859.jpg, 0, 0.1622709, 0, 0.0723815
E:\sdc\simulator\IMG\center_2021_08_20_00_39_42_961.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_42_961.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_42_961.jpg, 0, 0.4586889, 0, 0.4782838
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_064.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_064.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_064.jpg, 0, 0.7665511, 0, 1.225031
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_165.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_165.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_165.jpg, 0, 1, 0, 2.317463
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_268.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_268.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_268.jpg, -0.09052649, 1, 0, 3.498085
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_369.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_369.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_369.jpg, -0.3951279, 1, 0, 4.650088
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_469.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_469.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_469.jpg, -0.2501481, 1, 0, 5.798715
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_574.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_574.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_574.jpg, 0, 1, 0, 7.170619
E:\sdc\simulator\IMG\center_2021_08_20_00_39_43_675.jpg, E:\sdc\simulator\IMG\left_2021_08_20_00_39_43_675.jpg, E:\sdc\simulator\IMG\right_2021_08_20_00_39_43_675.jpg, 0, 1, 0, 8.305103
